Local;L Local en (m);surface en (m²);D en (m);H en (m);Amax en (m);Coef K de Local;Am en m2;Type de detecteur à prévo;L/2D;S/An;nbre de detecteurs à prévo
LOCAL;5;9,5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;8,6;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RECEPTION;10,6;55;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
TRIAGE  SAS;5;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
TRIAGE ;5;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
TRIAGE;5;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;10,35;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIRE ;4,5;9;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MEDECIN ;5,4;14;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SECTEUR DECHOCAGE;20;48;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
POSTE INFERMIER ;6,6;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PHARMA;4,4;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL;3,5;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CHAMBRE D4ISOLEMENT ;7,5;30;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOXE EXAMAN;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOXE EXAMAN;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOXE EXAMAN;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOXE EXAMAN;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SECTEUR EXAMEN;15;36;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
SAS;5,5;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
